,height,weight,bmi_label,predict
0,0.625,0.875,fat,fat
1,0.975,1.0,normal,normal
2,0.86,0.7875,normal,normal
3,0.865,0.6125,thin,thin
4,0.66,0.725,fat,fat
5,0.7,0.825,fat,fat
6,0.665,0.4375,normal,normal
7,0.96,0.95,normal,normal
8,0.85,0.675,normal,normal
9,0.985,0.8125,thin,thin
10,0.825,0.9875,fat,fat
11,0.835,0.5375,thin,thin
12,0.67,0.5875,fat,fat
13,0.825,0.475,thin,thin
14,0.795,0.9625,fat,fat
15,0.88,0.5375,thin,thin
16,0.71,0.5625,normal,normal
17,0.88,0.625,thin,thin
18,0.98,0.6625,thin,thin
19,0.955,0.55,thin,thin
20,0.765,0.475,thin,thin
21,0.88,0.7375,normal,normal
22,0.78,0.525,thin,thin
23,0.91,0.8,normal,normal
24,0.805,0.9125,fat,fat
25,0.865,0.6125,thin,thin
26,0.86,0.9625,fat,fat
27,0.935,0.4625,thin,thin
28,0.845,1.0,fat,fat
29,0.995,0.6625,thin,thin
30,0.935,0.725,thin,thin
31,0.835,0.4375,thin,thin
32,0.885,0.8625,normal,normal
33,0.785,0.4875,thin,thin
34,0.96,0.55,thin,thin
35,0.97,0.4875,thin,thin
36,0.885,0.7375,normal,normal
37,0.99,0.95,normal,normal
38,0.82,0.5625,thin,thin
39,0.955,0.9625,normal,normal
40,0.88,0.7125,thin,thin
41,0.615,0.9125,fat,fat
42,0.69,0.7875,fat,fat
43,0.645,0.4875,normal,normal
44,0.665,0.525,normal,normal
45,0.89,0.55,thin,thin
46,0.72,0.7875,fat,fat
47,0.975,0.8,thin,thin
48,0.7,0.5625,normal,normal
49,0.755,0.9625,fat,fat
50,0.645,0.525,fat,fat
51,1.0,0.925,normal,normal
52,0.685,0.8625,fat,fat
53,0.71,0.6375,fat,fat
54,0.795,0.6,normal,normal
55,0.88,0.8125,normal,normal
56,0.76,0.5125,thin,thin
57,0.895,0.7875,normal,normal
58,0.825,0.6125,thin,thin
59,0.74,0.75,fat,fat
60,0.675,0.55,normal,normal
61,0.895,0.6375,thin,thin
62,0.885,0.7375,normal,normal
63,0.96,0.825,thin,thin
64,0.795,0.5875,normal,thin
65,0.715,0.725,fat,fat
66,0.83,0.6125,thin,thin
67,0.895,0.7125,thin,thin
68,0.625,0.9125,fat,fat
69,0.915,0.875,normal,normal
70,0.62,0.6875,fat,fat
71,0.84,0.9375,fat,fat
72,0.865,0.5625,thin,thin
73,0.85,0.825,normal,normal
74,0.885,0.5875,thin,thin
75,0.9,0.5125,thin,thin
76,0.64,0.525,fat,fat
77,0.86,0.825,normal,normal
78,0.625,0.4875,normal,normal
79,0.9,0.5375,thin,thin
80,0.82,0.8375,normal,normal
81,0.82,0.525,thin,thin
82,0.78,0.95,fat,fat
83,0.81,0.8625,fat,fat
84,0.86,0.8,normal,normal
85,0.62,0.9125,fat,fat
86,1.0,0.6125,thin,thin
87,0.705,0.475,normal,normal
88,0.7,0.6375,fat,fat
89,0.975,0.5,thin,thin
90,0.655,0.9625,fat,fat
91,1.0,0.5875,thin,thin
92,0.93,0.55,thin,thin
93,0.635,0.6375,fat,fat
94,0.655,0.6,fat,fat
95,0.945,0.4625,thin,thin
96,0.785,0.6125,normal,normal
97,0.7,0.5625,normal,normal
98,0.805,0.7,normal,normal
99,0.64,0.8625,fat,fat
100,0.795,0.65,normal,normal
101,0.635,0.5125,fat,fat
102,0.645,0.45,normal,normal
103,0.75,0.6625,normal,normal
104,0.685,0.85,fat,fat
105,0.975,0.925,normal,normal
106,0.91,0.9875,normal,normal
107,0.945,0.475,thin,thin
108,1.0,0.7125,thin,thin
109,0.91,0.875,normal,normal
110,0.645,0.925,fat,fat
111,0.77,0.95,fat,fat
112,0.805,0.6,normal,thin
113,0.975,0.7,thin,thin
114,0.92,0.475,thin,thin
115,0.89,0.675,thin,thin
116,0.75,0.7625,fat,fat
117,0.72,0.55,normal,normal
118,0.83,0.5125,thin,thin
119,0.84,0.975,fat,fat
120,0.725,0.55,normal,normal
121,0.795,0.8625,fat,fat
122,0.815,0.4875,thin,thin
123,0.61,0.8625,fat,fat
124,0.935,0.65,thin,thin
125,0.77,0.775,fat,fat
126,0.9,0.5625,thin,thin
127,0.765,0.85,fat,fat
128,0.885,0.675,thin,thin
129,0.945,0.7125,thin,thin
130,0.775,0.725,normal,normal
131,0.845,0.75,normal,normal
132,0.975,0.4625,thin,thin
133,0.63,0.4625,normal,normal
134,0.735,0.6125,normal,normal
135,0.93,0.6375,thin,thin
136,0.695,0.65,fat,fat
137,0.69,0.5875,normal,normal
138,0.98,0.8,thin,thin
139,0.67,0.5875,fat,fat
140,0.63,0.65,fat,fat
141,0.865,0.6875,thin,thin
142,0.89,0.5,thin,thin
143,0.61,0.775,fat,fat
144,0.925,0.8375,normal,normal
145,0.845,0.8875,normal,normal
146,0.985,0.825,thin,thin
147,0.975,0.6625,thin,thin
148,0.995,0.925,normal,normal
149,0.665,0.525,normal,normal
150,0.695,0.675,fat,fat
151,0.835,0.85,normal,normal
152,0.93,0.7625,thin,thin
153,0.8,0.4625,thin,thin
154,0.775,0.45,thin,thin
155,0.69,0.95,fat,fat
156,0.6,0.9875,fat,fat
157,0.94,0.7375,thin,thin
158,0.81,0.8,normal,normal
159,0.65,0.7375,fat,fat
160,0.96,0.7125,thin,thin
161,0.77,0.8,fat,fat
162,0.945,0.8125,thin,thin
163,0.98,0.625,thin,thin
164,0.72,0.625,normal,normal
165,0.735,0.6625,normal,normal
166,0.92,0.95,normal,normal
167,0.795,0.9125,fat,fat
168,0.64,0.6,fat,fat
169,0.895,0.9875,normal,normal
170,0.73,0.6,normal,normal
171,0.765,1.0,fat,fat
172,0.835,0.6375,thin,thin
173,0.985,0.7875,thin,thin
174,0.66,0.45,normal,normal
175,0.61,0.45,normal,normal
176,0.73,0.4375,thin,thin
177,0.89,0.5875,thin,thin
178,0.785,0.8375,fat,fat
179,0.64,0.4875,normal,normal
180,0.815,0.575,thin,thin
181,0.905,1.0,normal,normal
182,0.615,0.9,fat,fat
183,0.71,0.75,fat,fat
184,0.64,0.8375,fat,fat
185,0.745,0.7875,fat,fat
186,0.625,0.6875,fat,fat
187,0.66,0.5125,normal,normal
188,0.985,0.675,thin,thin
189,0.895,0.875,normal,normal
190,0.665,0.8625,fat,fat
191,0.815,0.4375,thin,thin
192,0.685,0.65,fat,fat
193,0.92,0.8875,normal,normal
194,0.92,0.525,thin,thin
195,0.66,0.825,fat,fat
196,0.815,0.725,normal,normal
197,0.645,0.625,fat,fat
198,0.86,1.0,fat,fat
199,0.83,0.9625,fat,fat
200,0.915,0.7375,thin,thin
201,0.8,0.825,fat,fat
202,0.895,0.5875,thin,thin
203,0.735,0.875,fat,fat
204,0.67,0.6375,fat,fat
205,0.73,0.875,fat,fat
206,0.925,0.75,thin,thin
207,0.755,0.9375,fat,fat
208,0.835,0.975,fat,fat
209,0.95,0.6,thin,thin
210,0.815,0.8125,normal,normal
211,0.73,0.65,normal,normal
212,0.955,0.475,thin,thin
213,0.975,0.5875,thin,thin
