,deposit,stock,label,PREDICT
0,1310000000,36000000,normal,diamond
1,1300000000,73000000,diamond,diamond
2,1950000000,64000000,vip,vip
3,1630000000,48000000,diamond,diamond
4,1790000000,73000000,vip,vip
5,1310000000,45000000,normal,normal
6,1990000000,44000000,diamond,diamond
7,1600000000,58000000,diamond,diamond
8,1920000000,78000000,vip,vip
9,1870000000,59000000,diamond,diamond
10,1200000000,51000000,normal,normal
11,1450000000,50000000,normal,normal
12,1430000000,63000000,diamond,diamond
13,1950000000,63000000,vip,vip
14,1530000000,65000000,diamond,diamond
15,1820000000,35000000,diamond,diamond
16,1330000000,72000000,diamond,diamond
17,1820000000,44000000,diamond,diamond
18,1630000000,57000000,diamond,diamond
19,1460000000,55000000,diamond,diamond
20,1510000000,75000000,diamond,diamond
21,1450000000,70000000,diamond,diamond
22,1250000000,67000000,normal,normal
23,1230000000,51000000,normal,normal
24,1440000000,73000000,diamond,diamond
25,1460000000,46000000,normal,normal
26,1220000000,79000000,diamond,diamond
27,1980000000,69000000,vip,vip
28,1710000000,70000000,diamond,diamond
29,1370000000,50000000,normal,normal
30,1450000000,78000000,diamond,diamond
31,1510000000,55000000,diamond,diamond
32,1400000000,43000000,normal,normal
33,1520000000,75000000,diamond,diamond
34,1440000000,63000000,diamond,diamond
35,1930000000,55000000,diamond,diamond
36,1620000000,70000000,diamond,diamond
37,1910000000,64000000,vip,vip
38,1810000000,63000000,diamond,diamond
39,1910000000,73000000,vip,vip
40,1340000000,38000000,normal,normal
41,1300000000,39000000,normal,normal
42,1600000000,61000000,diamond,diamond
43,2000000000,61000000,vip,vip
44,1950000000,78000000,vip,vip
45,1790000000,80000000,vip,vip
46,1790000000,79000000,vip,vip
47,1630000000,38000000,diamond,diamond
48,1770000000,73000000,diamond,diamond
49,1510000000,48000000,normal,normal
50,1790000000,46000000,diamond,diamond
51,1570000000,52000000,diamond,diamond
52,1430000000,60000000,diamond,diamond
53,1620000000,62000000,diamond,diamond
54,1390000000,57000000,normal,normal
55,1300000000,56000000,normal,normal
56,1530000000,45000000,normal,normal
57,1890000000,65000000,vip,vip
58,1950000000,56000000,vip,vip
59,1850000000,79000000,vip,vip
60,1740000000,41000000,diamond,diamond
61,1240000000,57000000,normal,normal
62,1580000000,45000000,diamond,diamond
63,1240000000,63000000,normal,normal
64,1710000000,65000000,diamond,diamond
65,1440000000,54000000,normal,normal
66,1680000000,63000000,diamond,diamond
67,2000000000,72000000,vip,vip
68,1430000000,63000000,diamond,diamond
69,1750000000,77000000,vip,vip
70,1890000000,39000000,diamond,diamond
71,1620000000,72000000,diamond,diamond
72,1550000000,41000000,normal,normal
73,1470000000,47000000,normal,diamond
74,1880000000,48000000,diamond,diamond
75,1320000000,79000000,diamond,diamond
76,1320000000,80000000,diamond,diamond
77,1210000000,41000000,normal,normal
78,1280000000,57000000,normal,normal
79,1930000000,67000000,vip,vip
80,1650000000,43000000,diamond,diamond
81,1940000000,58000000,vip,vip
82,1510000000,59000000,diamond,diamond
83,1700000000,47000000,diamond,diamond
84,1380000000,71000000,diamond,diamond
85,1400000000,67000000,diamond,diamond
86,1370000000,60000000,normal,normal
87,2000000000,78000000,vip,diamond
88,1380000000,46000000,normal,normal
89,1810000000,75000000,vip,vip
90,1320000000,50000000,normal,normal
91,1240000000,66000000,normal,normal
92,1740000000,62000000,diamond,diamond
93,1640000000,43000000,diamond,diamond
94,1760000000,46000000,diamond,diamond
95,1530000000,71000000,diamond,diamond
96,1410000000,65000000,diamond,diamond
97,1660000000,77000000,diamond,diamond
98,1430000000,62000000,diamond,diamond
99,1790000000,79000000,vip,vip
100,1520000000,80000000,diamond,diamond
101,1350000000,77000000,diamond,diamond
102,1200000000,43000000,normal,normal
103,1850000000,60000000,diamond,diamond
104,1420000000,48000000,normal,normal
105,1450000000,61000000,diamond,diamond
106,1270000000,80000000,diamond,diamond
107,1750000000,64000000,diamond,diamond
108,1380000000,52000000,normal,normal
109,1750000000,50000000,diamond,diamond
110,1780000000,74000000,vip,vip
111,1680000000,58000000,diamond,diamond
112,1430000000,64000000,diamond,diamond
113,1270000000,54000000,normal,normal
114,1700000000,79000000,diamond,diamond
115,1240000000,40000000,normal,normal
116,1510000000,79000000,diamond,diamond
117,1700000000,64000000,diamond,diamond
118,1570000000,45000000,diamond,diamond
119,1950000000,66000000,vip,vip
120,1530000000,69000000,diamond,diamond
121,1320000000,46000000,normal,normal
122,1510000000,60000000,diamond,diamond
123,1270000000,79000000,diamond,diamond
124,1850000000,63000000,diamond,diamond
125,1920000000,76000000,vip,vip
126,1700000000,42000000,diamond,diamond
127,1270000000,74000000,diamond,diamond
128,1420000000,45000000,normal,normal
129,1340000000,39000000,normal,normal
130,1410000000,40000000,normal,normal
131,1230000000,52000000,normal,normal
132,1870000000,62000000,diamond,diamond
133,1690000000,77000000,diamond,diamond
134,1870000000,47000000,diamond,diamond
135,1860000000,59000000,diamond,diamond
136,1730000000,49000000,diamond,diamond
137,1590000000,62000000,diamond,diamond
