SHAPE,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,LNM_LNDCGR_SMBOL,SRC_OBJECTID,SRC_LD_CPSG_CODE,ISSU_CONFM_CODE,STDR_YEAR,STDR_MT,ADSTRD_EMD_CODE,PBLNTF_PCLND,LNDCGR_CODE,LNDCGR_CODE_NM,LNDPCL_AR,PRPOS_AREA_1,PRPOS_AREA_1_NM,PRPOS_AREA_2,PRPOS_AREA_2_NM,LAD_USE_SITTN,LAD_USE_SITTN_NM,TPGRPH_HG_CODE,TPGRPH_HG_CODE_NM,TPGRPH_FRM_CODE,TPGRPH_FRM_CODE_NM,ROAD_SIDE_CODE,ROAD_SIDE_CODE_NM,FRST_REGIST_DT
198225.228 453200 198214.452 453200 198205.22 453194.837 198202.316 453192.54 198197.506 453187.359 198193.605 453181.575 198190.165 453173.587 198185.967 453153.694 198180.631 453127.108 198175.453 453110.318 198173.482 453102.406 198172.634 453095.584 198169.687 453082.419 198163.217 453053.358 198159.865 453038.492 198155.408 453018.18 198151.706 453000 198157.142 453000 198162.637 453019.085 198166.246 453038.493 198168.891 453052.985 198172.505 453070.009 198173.699 453076.418 198174.817 453081.312 198175.507 453084.247 198177.407 453091.289 198178.254 453095.422 198178.325 453095.839 198179.88 453102.734 198180.382 453104.979 198182.871 453116.648 198183.604 453119.713 198184.944 453125.98 198186.841 453135.74 198189.153 453146.133 198189.487 453146.034 198190.925 453149.214 198191.268 453150.896 198194.665 453163.718 198197.973 453175.203 198200.293 453177.883 198199.841 453178.119 198201.281 453181.339 198200.356 453182.305 198202.314 453186.265 198204.886 453187.13 198210.769 453193.009 198218.649 453198.748 198220.158 453197.851 198225.228 453200,1111014200100570001,11110,14200,1,0057,0001,57-1 도,204456,11110,1,2018,01,904,1566000,14,도로,1191.6,43,자연녹지지역,13,제1종일반주거지역,910,도로등,02,평지,07,부정형,00,지정되지않음,2018-08-07Z
198155.408 453018.18 198159.865 453038.492 198163.217 453053.358 198169.687 453082.419 198172.634 453095.584 198173.482 453102.406 198175.453 453110.318 198180.631 453127.108 198185.967 453153.694 198190.165 453173.587 198193.605 453181.575 198197.506 453187.359 198202.316 453192.54 198205.22 453194.837 198214.452 453200 198203.104 453200 198195.801 453194.379 198191.598 453189.334 198188.199 453184.15 198187.056 453181.852 198185.35 453177.941 198183.081 453172.19 198180.753 453162.042 198171.288 453117.794 198164.929 453089.946 198151.873 453032.685 198144.924 453000.001 198151.706 453000 198155.408 453018.18,1111014200100570002,11110,14200,1,0057,0002,57-2천,195471,11110,1,2018,01,904,1020000,17,하천,1312.4,43,자연녹지지역,00,지정되지않음,910,도로등,00,지정되지않음,00,지정되지않음,00,지정되지않음,2018-08-07Z
198242.334 453200.029 198242.1 453200.191 198241.916 453200 198240.661 453198.701 198242.334 453200.029,1111014200100570003,11110,14200,1,0057,0003,57-3대,163328,11110,1,2018,01,904,4348000,08,대,0.2,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,07,부정형,08,세로한면(가),2018-08-07Z
198209.074 453085.218 198207.651 453083.109 198207.249 453081.732 198208.183 453081.546 198209.074 453085.218,1111014200100570004,11110,14200,1,0057,0004,57-4대,163401,11110,1,2018,01,904,7420000,08,대,2.6,13,제1종일반주거지역,00,지정되지않음,310,주상용,02,평지,07,부정형,04,중로한면,2018-08-07Z
198237.007 453195.856 198240.661 453198.701 198241.916 453200 198238.864 453200 198236.669 453197.87 198232.838 453194.271 198225.228 453200 198220.158 453197.851 198226.55 453193.599 198228.837 453192.172 198231.682 453190.337 198232.086 453185.529 198232.328 453185.02 198230.733 453176.857 198228.871 453166.958 198231.996 453166.216 198231.927 453165.712 198246.33 453164.736 198246.347 453165.554 198250 453165.58 198250 453168.386 198248.588 453168.376 198248.559 453168.132 198246.849 453167.515 198245.12 453166.938 198242.231 453166.837 198239.4 453167.124 198232.043 453167.711 198231.555 453168.256 198232.557 453175.592 198233.637 453182.567 198233.248 453182.725 198233.507 453185.542 198233.925 453190.453 198232.913 453191.623 198234.15 453193.406 198237.007 453195.856,1111014200100570007,11110,14200,1,0057,0007,57-7 도,204455,11110,1,2018,01,904,2524000,14,도로,155.8,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,07,부정형,00,지정되지않음,2018-08-07Z
198210.114 453174.897 198212.623 453176.303 198213.938 453178.699 198211.308 453179.784 198209.916 453177.299 198209.141 453176.634 198207.701 453174.423 198200.293 453177.883 198197.973 453175.203 198205.844 453172.761 198211.859 453171.197 198212.02 453172.191 198210.021 453172.58 198210.114 453174.897,1111014200100570008,11110,14200,1,0057,0008,57-8 도,204454,11110,1,2018,01,904,2524000,14,도로,46.7,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,07,부정형,00,지정되지않음,2018-08-07Z
198211.401 453140.422 198211.502 453140.565 198211.842 453142.867 198206.272 453143.912 198202.329 453145.133 198198.078 453146.562 198190.925 453149.214 198189.487 453146.034 198193.471 453145.704 198197.51 453144.638 198202.5 453142.37 198207.972 453140.182 198208.087 453139.163 198206.352 453133.529 198208.495 453132.884 198209.98 453132.75 198211.401 453140.422,1111014200100570009,11110,14200,1,0057,0009,57-9 도,204453,11110,1,2018,01,904,2524000,14,도로,81.6,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,07,부정형,00,지정되지않음,2018-08-07Z
198203.905 453114.034 198200.823 453114.82 198196.416 453115.595 198194.949 453114.131 198194.1 453112.543 198192.272 453108.158 198189.868 453102.064 198180.382 453104.979 198179.88 453102.734 198181.536 453102.297 198189.051 453099.969 198191.753 453099.133 198192.102 453100.179 198195.321 453111.123 198196.529 453113.725 198213.236 453109.058 198213.203 453108.874 198222.499 453106.246 198222.757 453107.481 198215.449 453110.286 198205.898 453112.901 198203.905 453114.034,1111014200100570010,11110,14200,1,0057,0010,57-10 도,213292,11110,1,2018,01,904,2524000,14,도로,105.1,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,07,부정형,00,지정되지않음,2018-08-07Z
198209.611 453076.684 198210.014 453081.11 198208.183 453081.546 198207.249 453081.732 198206.995 453081.193 198206.506 453079.069 198205.989 453077.591 198204.57 453072.943 198196.45 453075.125 198195.99 453075.886 198183.568 453078.468 198177.671 453080.219 198174.817 453081.312 198173.699 453076.418 198176.762 453076.017 198180.287 453075.193 198180.396 453075.384 198187.832 453073.848 198205.9 453069.743 198223.254 453065.713 198238.845 453062.048 198242.651 453061.2 198249.918 453059.69 198249.951 453062.502 198248.246 453062.761 198239.103 453064.353 198224.728 453067.62 198215.151 453070.125 198209.139 453072.249 198209.611 453076.684,1111014200100570011,11110,14200,1,0057,0011,57-11 도,213246,11110,1,2018,01,904,2524000,14,도로,254.8,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,07,부정형,00,지정되지않음,2018-08-07Z
198198.668 453148.116 198191.268 453150.896 198190.925 453149.214 198198.078 453146.562 198198.668 453148.116,1111014200100580001,11110,14200,1,0058,0001,58-1대,195483,11110,1,2018,01,904,9260000,08,대,12.6,13,제1종일반주거지역,00,지정되지않음,210,상업용,02,평지,04,사다리형,03,광대세각,2018-08-07Z
