SHAPE,GIS_IDNTFC_NO,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,SRC_OBJECTID,SRC_LD_CPSG_CODE,BULD_IDNTFC_NO,AGBLDG_SE_CODE,BULD_KND_CODE,BULD_TOTAR,STRCT_CODE,STRCT_CODE_NM,MAIN_PRPOS_CODE,MAIN_PRPOS_CODE_NM,BULD_HG,GROUND_FLOOR_CO,UNDGRND_FLOOR_CO,USE_CONFM_DE,BULD_AGE,AGRDE_SE_CODE,AGRDE_SE_CODE_NM,AGRDE_5_CLASS_SE_CODE,AGRDE_5_CLASS_SE_CODE_NM,FRST_REGIST_DT,PRMISN_DE,BULD_NM,BULD_DONG_NM
199423.136 453783.296 199418.336 453789.346 199410.776 453782.146 199410.216 453782.656 199407.296 453779.786 199409.686 453775.486 199423.136 453783.296,0000199415114537822000000000,1111017300100600013,11110,17300,1,0060,0013,28018,11110,15286,1,2,59.1,11,벽돌구조,01000,단독주택,0,1,0,19850629,35,04,30대,040,40세미만,2019-01-31Z,,,
201286.879 452365.714 201286.999 452373.834 201286.149 452374.924 201278.809 452375.054 201278.769 452365.444 201286.879 452365.714,1992201282814523702600000000,1111017400102760001,11110,17400,1,0276,0001,7606,11110,27323,1,2,332.68,21,철근콘크리트구조,03000,제1종근린생활시설,0,4,1,19921222,28,03,20대,030,30세미만,2019-01-31Z,19910320,,
202676.444 450760.298 202664.524 450754.528 202668.494 450748.198 202674.464 450751.018 202678.474 450744.298 202683.924 450747.018 202676.444 450760.298,1997202674654507525000000000,1120010700103110006,11200,10700,1,0311,0006,28145,11200,9957,1,2,354.34,21,철근콘크리트구조,01000,단독주택,8.47,2,1,19971209,23,03,20대,025,25세미만,2019-01-31Z,19970329,,
200020.807 452915.799 200013.397 452916.949 200012.527 452915.959 200015.957 452911.639 200020.807 452915.799,1998200016264529148000000000,1111016600101180011,11110,16600,1,0118,0011,2848,11110,22500,1,2,71.31,21,철근콘크리트구조,01000,단독주택,9.1,3,0,19980325,22,03,20대,025,25세미만,2019-01-31Z,19971203,,
202521.333 450765.24 202518.983 450775.831 202512.293 450774.481 202514.813 450763.551 202521.333 450765.24,1994202516834507697800000000,1120010700103040011,11200,10700,1,0304,0011,28473,11200,9857,1,2,179.96,11,벽돌구조,01000,단독주택,7.6,2,1,19941128,26,03,20대,030,30세미만,2019-01-31Z,19940322,,
201453.366 452734.504 201442.456 452737.594 201440.596 452731.574 201450.666 452728.394 201453.366 452734.504,1964201446824527330300000000,1111017500100590039,11110,17500,1,0059,0039,316,11110,15753,1,2,72.43,12,블록구조,04000,제2종근린생활시설,0,1,0,19640629,56,06,50대,060,60세미만,2019-01-31Z,,,
200807.894 452346.441 200807.275 452347.331 200800.254 452347.681 200800.174 452345.181 200801.444 452344.702 200801.304 452342.181 200807.224 452341.781 200807.894 452346.441,2007200804174523448800000000,1111017400106540000,11110,17400,1,0654,0000,7777,11110,15829,1,2,118.4,19,기타조적구조,01000,단독주택,8,3,0,20070207,13,02,10대,015,15세미만,2019-01-31Z,19940822,,
201443.425 453113.838 201443.422 453113.897 201437.062 453114.937 201436.872 453108.317 201440.222 453108.097 201440.382 453107.267 201443.022 453107.437 201443.425 453113.838,1987201440114531111300000000,1111017500100210001,11110,17500,1,0021,0001,4106,11110,5836,1,2,140.74,21,철근콘크리트구조,01000,단독주택,0,2,1,19871201,33,04,30대,035,35세미만,2019-01-31Z,19870610,,
197049.69 456475.386 197037.76 456481.396 197035.08 456475.686 197046.83 456469.706 197049.69 456475.386,2003197042354564755400000000,1111018300101310015,11110,18300,1,0131,0015,22644,11110,19390,1,2,178.98,21,철근콘크리트구조,01000,단독주택,7.65,2,0,20031128,17,02,10대,020,20세미만,2019-01-31Z,20030528,,
200953.604 452854.903 200950.774 452853.113 200950.364 452853.453 200944.624 452848.963 200951.034 452840.773 200959.004 452847.273 200953.604 452854.903,1975200951904528480300000000,1111017400100230457,11110,17400,1,0023,0457,4416,11110,13437,1,2,199.86,11,벽돌구조,01000,단독주택,0,3,1,19750930,45,05,40대,050,50세미만,2019-01-31Z,,,
