stdrYear,stdrMt,ldCtprvnCode,ldCtprvnNm,ldCpsgCode,ldEmdLiCode,pclndIndex,pclndChgRt,acmtlPclndChgRt,lastUpdtDt,ldCpsgCodeNm
2005,01,11,서울특별시,11000,00000,72.561,0.192,0.192,2018-01-24,
2005,01,11,서울특별시,11110,00000,75.551,0.118,0.118,2018-01-24,종로구
2005,01,11,서울특별시,11140,00000,75.607,0.1,0.1,2018-01-24,중구
2005,01,11,서울특별시,11170,00000,66.761,0.305,0.305,2018-01-24,용산구
2005,01,11,서울특별시,11200,00000,66.312,0.109,0.109,2018-01-24,성동구
2005,01,11,서울특별시,11215,00000,73.788,0.181,0.181,2018-01-24,광진구
2005,01,11,서울특별시,11230,00000,73.815,0.093,0.093,2018-01-24,동대문구
2005,01,11,서울특별시,11260,00000,75.683,0.124,0.124,2018-01-24,중랑구
2005,01,11,서울특별시,11290,00000,74.939,0.176,0.176,2018-01-24,성북구
2005,01,11,서울특별시,11305,00000,76.205,0.93,0.93,2018-01-24,강북구
