gisIdntfcNo,pnu,ldCode,ldCodeNm,regstrSeCode,regstrSeCodeNm,mnnmSlno,buldIdntfcNo,agbldgSeCode,agbldgSeCodeNm,buldKndCode,buldKndCodeNm,buldMainAtachSeCode,buldMainAtachSeCodeNm,buldPlotAr,buldBildngAr,buldTotar,measrmtRt,btlRt,strctCode,strctCodeNm,mainPrposCode,mainPrposCodeNm,detailPrposCode,detailPrposCodeNm,buldPrposClCode,buldPrposClCodeNm,buldHg,groundFloorCo,undgrndFloorCo,prmisnDe,useConfmDe,lastUpdtDt,buldDongNm
1988201247664531326300000000,1111017400100010001,1111017400,서울특별시 종로구 창신동,1,일반,1-1,21483,1,일반건축물,2,일반건축물대방,0,주건축물,0,0,140.38,0,0,11,벽돌구조,04000,제2종근린생활시설,04999,기타제2종근생활시설,2,상업용,0,2,1,1988-03-15,1988-08-05,2019-01-02,
1988201248874531224000000000,1111017400100010082,1111017400,서울특별시 종로구 창신동,1,일반,1-82,14204,1,일반건축물,2,일반건축물대방,0,주건축물,71.3,42.42,175.42,178.49,59.5,11,벽돌구조,04000,제2종근린생활시설,04499,기타사무소,2,상업용,8.6,3,1,1987-12-28,1988-08-18,2019-01-02,창신동주택
1984201253274531009800000000,1111017400100010084,1111017400,서울특별시 종로구 창신동,1,일반,1-84,26646,1,일반건축물,2,일반건축물대방,0,주건축물,0,0,284.23,0,0,21,철근콘크리트구조,04000,제2종근린생활시설,04999,기타제2종근생활시설,2,상업용,0,3,1,1983-12-09,1984-11-28,2019-01-02,
1944201215344530567700000000,1111017400100010091,1111017400,서울특별시 종로구 창신동,1,일반,1-91,29289,1,일반건축물,2,일반건축물대방,0,주건축물,0,0,19.83,0,0,51,일반목구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1944-09-01,2019-01-02,
1983201255034530735400000000,1111017400100020002,1111017400,서울특별시 종로구 창신동,1,일반,2-2,24748,1,일반건축물,2,일반건축물대방,0,주건축물,0,0,49.9,0,0,11,벽돌구조,04000,제2종근린생활시설,04999,기타제2종근생활시설,2,상업용,0,2,0,1983-03-22,1983-07-28,2019-01-02,
1998201250684530852400000000,1111017400100030003,1111017400,서울특별시 종로구 창신동,1,일반,3-3,4168,1,일반건축물,2,일반건축물대방,0,주건축물,226.3,133.49,1099.57,385.71,58.99,21,철근콘크리트구조,04000,제2종근린생활시설,04402,사무소,2,상업용,24.85,7,2,1996-08-06,1998-08-03,2019-01-02,
1995201204284530524200000000,1111017400100060015,1111017400,서울특별시 종로구 창신동,1,일반,6-15,20229,1,일반건축물,2,일반건축물대방,0,주건축물,87.2,46.23,198.01,159.04,53.01,21,철근콘크리트구조,04000,제2종근린생활시설,04999,기타제2종근생활시설,2,상업용,9.8,3,1,1994-08-19,1995-01-25,2019-01-02,
0000201196244530527000000000,1111017400100060016,1111017400,서울특별시 종로구 창신동,1,일반,6-16,15104,1,일반건축물,2,일반건축물대방,0,주건축물,0,0,42.98,0,0,51,일반목구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,,2019-01-02,
1944201187434530535300000000,1111017400100060017,1111017400,서울특별시 종로구 창신동,1,일반,6-17,19386,1,일반건축물,2,일반건축물대방,0,주건축물,0,0,19.83,0,0,51,일반목구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1944-09-10,2019-01-02,
0000201185364530558700000000,1111017400100060017,1111017400,서울특별시 종로구 창신동,1,일반,6-17,19387,1,일반건축물,2,일반건축물대방,0,주건축물,0,0,26.45,0,0,51,일반목구조,03000,제1종근린생활시설,03999,기타제1종근생활시설,2,상업용,0,1,0,,,2019-01-02,제1호
