,Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category,Route_enco,Oppt_enco,Cmpt_enco
45815,5207806,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,6,37,37,0,1,5,0,Unknown,0.221622,0.051351,0.7270270000000001,1,0,1,2
45872,5385507,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,90,Loss,11,41,41,12000,1,1,0,Unknown,0.35194200000000003,0.648058,0.0,2,2,0,2
45947,5540475,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,6,43,43,25000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
46085,5726954,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,91,Loss,2,45,45,100000,1,1,0,Unknown,0.0,1.0,0.0,5,2,0,2
46090,5727186,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,23,Won,4,10,10,13000,3,2,0,Unknown,0.0,0.029703,0.970297,2,2,1,2
46120,5752782,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,6,45,45,150000,1,3,0,None,0.376392,0.053452,0.570156,5,0,0,1
46158,5783118,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,91,Won,5,43,39,200000,1,1,0,Known,0.011765,0.362353,0.545882,5,0,1,0
46204,5812488,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Won,6,59,51,212000,1,5,0,Known,0.469388,0.139456,0.25,5,0,1,0
46217,5819505,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,24,Won,5,17,17,95000,1,1,0,Unknown,0.0,0.789157,0.210843,4,2,1,2
46229,5825428,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,6,67,67,100000,1,1,0,Unknown,0.66015,0.04812,0.291729,5,0,0,2
46331,5876211,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,4,67,67,10000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
46335,5879501,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,86,Won,5,42,42,26000,5,3,3,Unknown,0.0,0.052133000000000006,0.947867,3,2,1,2
46339,5882456,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,64,Loss,13,42,40,40000,1,3,0,Unknown,0.0,0.009639,0.956627,3,2,0,2
46391,5901040,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,6,42,42,50000,1,1,0,Unknown,0.286747,0.713253,0.0,4,2,0,2
